@RELATION knnDTMF
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {tecla_0,tecla_1,tecla_2,tecla_3,tecla_4,tecla_5,tecla_6,tecla_7,tecla_8,tecla_9}

@DATA
0.246805,0.105592,3.187917,0.412985,0.236225,0.654907,0.013544,0.143571,-36.856944,0.111015,-0.972376,0.066645,-0.126753,0.201523,0.245915,-0.469157,-0.196416,0.426959,0.005958,-0.184288,0.030541,0.003822,0.003016,0.008929,0.003749,0.003648,0.003336,0.006862,0.004498,0.005751,0.003848,0.004529,0.002639,0.003372,0.028594,0.043197,0.055155,0.038974,0.025840,0.133691,0.019421,0.058613,4.025722,0.346393,0.435119,0.209300,0.164194,0.144535,0.160172,0.267382,0.145720,0.238928,0.091778,0.130611,0.067676,0.002105,0.002412,0.005347,0.002941,0.002219,0.002053,0.004889,0.001590,0.003062,0.002500,0.003063,0.001863,0.001050,tecla_2
0.228446,0.024640,3.114672,0.479363,0.275624,0.424280,0.005163,0.033500,-44.292194,-0.013958,-0.243124,0.024459,-0.027792,0.027388,0.047199,-0.126389,-0.050397,0.117935,0.002942,-0.046466,0.004237,0.006075,0.004487,0.011336,0.005591,0.006213,0.005213,0.010538,0.003839,0.005822,0.005808,0.006470,0.004390,0.003568,0.033613,0.037654,0.047426,0.035089,0.022622,0.121952,0.008628,0.051172,3.533723,0.186412,0.407270,0.123275,0.128568,0.165617,0.169008,0.230967,0.132383,0.204504,0.082761,0.138618,0.092840,0.002914,0.003029,0.005449,0.003306,0.003032,0.002974,0.004402,0.001725,0.002306,0.003031,0.003128,0.002229,0.001023,tecla_2
0.238710,0.070191,3.181143,0.429833,0.265158,0.622237,0.008814,0.095714,-39.966252,0.088345,-0.505846,0.007770,-0.153045,0.199477,0.220378,-0.341548,-0.142509,0.331098,-0.003819,-0.159702,0.022261,0.003514,0.002752,0.054125,0.002604,0.003361,0.002874,0.005939,0.005292,0.005100,0.002904,0.004128,0.002297,0.015203,0.025703,0.028714,0.037701,0.025673,0.018399,0.088294,0.011331,0.039075,2.776418,0.272739,0.285803,0.142244,0.160617,0.163381,0.172446,0.220463,0.153375,0.211331,0.110918,0.133157,0.082012,0.002265,0.001799,0.014114,0.001442,0.001609,0.001571,0.003456,0.002738,0.001920,0.001367,0.001847,0.001498,0.003411,tecla_2
0.280702,0.161621,3.226868,0.382249,0.227962,0.841903,0.026630,0.246667,-31.393630,-0.051059,-1.005931,-0.533170,-0.522813,0.890069,0.207754,-1.001199,0.152644,0.460041,-0.229747,0.242776,0.064017,0.002284,0.001457,0.007188,0.001381,0.001945,0.002293,0.006546,0.001385,0.007103,0.003674,0.003053,0.002715,0.003228,0.051890,0.114283,0.101593,0.062150,0.047253,0.317505,0.037657,0.174420,10.499076,0.185714,0.665506,0.243070,0.272737,0.668480,0.185166,0.723172,0.081071,0.273273,0.207894,0.103618,0.113349,0.003107,0.001966,0.010060,0.001856,0.002559,0.002765,0.008237,0.000314,0.000873,0.003356,0.004229,0.003686,0.001632,tecla_3
0.310777,0.210847,3.285268,0.346624,0.189520,0.959379,0.012078,0.317143,-27.231305,0.315784,-1.342451,-0.253438,-0.568434,1.152134,0.246112,-1.318265,0.177633,0.667064,-0.329356,0.066273,-0.130412,0.000977,0.000433,0.000666,0.001341,0.001089,0.000643,0.001891,0.000780,0.006287,0.002794,0.000785,0.000490,0.001829,0.016945,0.086246,0.071336,0.076868,0.042777,0.235918,0.027777,0.129473,7.914897,0.698056,0.501877,0.324796,0.341074,0.521063,0.171498,0.507048,0.211225,0.329969,0.179421,0.168740,0.056480,0.002191,0.000921,0.001378,0.003111,0.002394,0.001039,0.003454,0.000298,0.001317,0.001389,0.001358,0.000925,0.000442,tecla_3
0.173252,0.210694,3.299996,0.237711,0.186210,0.946874,0.011163,0.158571,-27.360670,0.400786,-1.296002,-0.271352,-0.607140,1.231699,0.243834,-1.345090,0.204865,0.710636,-0.373961,0.102943,-0.059277,0.000439,0.000403,0.000504,0.000893,0.000605,0.000627,0.000958,0.001020,0.005542,0.002398,0.007800,0.000302,0.003456,0.005219,0.086187,0.035389,0.101431,0.058343,0.223732,0.024054,0.064737,8.159583,0.598407,0.506187,0.307703,0.343403,0.482561,0.152281,0.550195,0.181696,0.285990,0.173991,0.149131,0.108086,0.000873,0.000852,0.000997,0.002008,0.001200,0.000986,0.001147,0.000729,0.001759,0.000653,0.018507,0.000461,0.004267,tecla_3
0.192324,0.161496,3.286660,0.303617,0.236155,0.906607,0.024751,0.123333,-31.692364,0.122749,-0.899011,-0.376339,-0.546897,0.934565,0.203996,-1.067928,0.022262,0.476414,-0.237658,0.209546,0.040785,0.000283,0.000221,0.000440,0.000392,0.000451,0.000387,0.001247,0.001130,0.005296,0.001111,0.039729,0.000175,0.012274,0.032159,0.114196,0.014690,0.117655,0.051188,0.202124,0.034991,0.087210,11.072874,0.165906,0.634457,0.209865,0.284338,0.684873,0.287476,0.622555,0.141405,0.336027,0.213047,0.076704,0.064322,0.000276,0.000222,0.000498,0.000441,0.000422,0.000036,0.000678,0.000105,0.003475,0.000203,0.056079,0.000096,0.014417,tecla_3
0.085106,0.122237,3.315291,0.168991,0.180378,0.535655,0.235427,0.092500,-36.736531,0.284056,-2.287082,0.077608,-0.800314,0.582951,0.563062,-0.523846,0.206549,0.468776,-0.025641,0.283156,-0.020325,0.000046,0.000037,0.000045,0.000046,0.000079,0.000195,0.000403,0.000651,0.003980,0.000599,0.083233,0.000043,0.024068,0.085106,0.122237,0.006226,0.030028,0.121811,0.476803,0.235427,0.092500,10.636106,0.477161,2.181109,0.112261,0.581676,0.691943,0.482929,0.459900,0.222746,0.420953,0.154211,0.126922,0.215257,0.000039,0.000035,0.000036,0.000041,0.000076,0.000189,0.000391,0.000646,0.003970,0.000595,0.083211,0.000039,0.021933,tecla_3
0.032668,0.118537,3.314249,0.167921,0.178866,0.040094,0.148766,0.033575,-37.196980,0.250898,-2.237083,0.089556,-0.692683,0.723489,0.549540,-0.434431,0.320858,0.487335,-0.075124,0.218256,-0.095334,0.000046,0.000038,0.000043,0.000044,0.083253,0.000193,0.000402,0.000655,0.003977,0.000577,0.000014,0.000044,0.024056,0.032668,0.118537,0.003033,0.116768,0.150457,0.039880,0.148766,0.033575,10.957189,0.271682,2.335261,0.028302,0.712413,0.555246,0.513634,0.501633,0.182943,0.449849,0.070436,0.229739,0.108863,0.000042,0.000035,0.000036,0.000042,0.083099,0.000191,0.000396,0.000651,0.003974,0.000574,0.000011,0.000043,0.021920,tecla_3
0.119328,0.157906,3.295597,0.247411,0.238516,0.259420,0.020288,0.044767,-31.878681,0.299737,-0.871920,-0.202247,-0.458845,0.919379,0.300673,-0.999807,0.055082,0.477239,-0.216027,0.170300,-0.010674,0.000117,0.000142,0.000174,0.000162,0.047451,0.000374,0.000644,0.000881,0.005473,0.001042,0.000140,0.000148,0.014502,0.077320,0.111658,0.010300,0.150618,0.047835,0.334335,0.028651,0.031655,11.447977,0.188574,0.660658,0.272612,0.409826,0.635300,0.221749,0.655851,0.026564,0.347708,0.174961,0.087048,0.051612,0.000039,0.000110,0.000101,0.000104,0.066863,0.000021,0.000246,0.000515,0.003704,0.000447,0.000089,0.000061,0.017445,tecla_3
0.086207,0.210558,3.303347,0.173530,0.193662,0.093625,0.009810,0.057558,-27.536213,0.388280,-1.299884,-0.295104,-0.628467,1.210406,0.229016,-1.344648,0.236034,0.694828,-0.390513,0.086675,-0.091327,0.000239,0.000094,0.000185,0.000117,0.015346,0.000277,0.000598,0.000727,0.005084,0.001993,0.000317,0.000140,0.005595,0.052238,0.086140,0.012676,0.128953,0.062510,0.188780,0.019495,0.023498,8.451392,0.582556,0.569041,0.290185,0.293528,0.499892,0.166693,0.532124,0.160759,0.302251,0.119153,0.164839,0.069329,0.000388,0.000097,0.000224,0.000114,0.037301,0.000161,0.000329,0.000281,0.002200,0.000824,0.000234,0.000068,0.009682,tecla_3
0.155388,0.122465,3.315637,0.209390,0.190846,0.533443,0.320434,0.185000,-36.371511,0.578120,-2.156705,0.188586,-0.685304,0.666873,0.454442,-0.536957,0.158092,0.519885,-0.051918,0.163133,-0.192313,0.000045,0.000038,0.099960,0.000047,0.000080,0.000192,0.000404,0.000639,0.003922,0.000613,0.000013,0.000040,0.028669,0.155388,0.122465,0.005845,0.065502,0.083566,0.493510,0.320434,0.185000,10.336877,0.547862,2.260810,0.215855,0.738574,0.630972,0.531251,0.463856,0.164683,0.341891,0.160441,0.226285,0.094785,0.000037,0.000034,0.099877,0.000043,0.000077,0.000190,0.000381,0.000636,0.003920,0.000606,0.000006,0.000036,0.026562,tecla_3
0.266846,0.105313,3.187392,0.423029,0.240842,0.652024,0.013989,0.158571,-37.007606,0.087071,-0.679851,-0.178735,-0.264231,0.575048,0.099230,-0.655710,0.145258,0.329780,-0.167223,0.079227,-0.055463,0.003287,0.003285,0.007492,0.003504,0.003862,0.003323,0.005716,0.002557,0.004591,0.005832,0.004777,0.002875,0.002748,0.025671,0.043090,0.054431,0.040667,0.023483,0.133459,0.019361,0.064737,3.943736,0.387650,0.338992,0.221614,0.206806,0.300264,0.141763,0.293207,0.144179,0.202871,0.150194,0.107860,0.087685,0.001937,0.002250,0.004043,0.002403,0.001699,0.002626,0.003050,0.002055,0.001335,0.004309,0.003466,0.001670,0.001045,tecla_3
0.225961,0.024572,3.109335,0.483358,0.277254,0.418257,0.005366,0.037000,-44.351693,0.001484,-0.158370,-0.038996,-0.042456,0.130315,0.026444,-0.149342,0.020327,0.064299,-0.051617,0.018100,-0.007527,0.006530,0.004246,0.010437,0.004613,0.005884,0.005306,0.010545,0.003999,0.004769,0.005893,0.007710,0.004551,0.003486,0.035857,0.037551,0.054956,0.036007,0.019894,0.124067,0.008781,0.056518,3.485684,0.212547,0.310966,0.169752,0.192927,0.287687,0.107273,0.324872,0.119597,0.184279,0.161733,0.124380,0.095561,0.003001,0.002217,0.004241,0.002405,0.003382,0.003151,0.005129,0.002555,0.002331,0.002594,0.003814,0.002655,0.001046,tecla_3
0.246235,0.070215,3.173827,0.437591,0.261976,0.591980,0.009297,0.105714,-40.032541,0.060501,-0.523712,-0.000499,-0.152797,0.297281,0.103208,-0.385854,0.006938,0.185424,-0.061647,0.025677,-0.061580,0.003645,0.003070,0.038162,0.003122,0.003624,0.003080,0.006185,0.002557,0.005065,0.004775,0.004234,0.002693,0.010357,0.035185,0.028736,0.035741,0.026985,0.018158,0.094890,0.012098,0.043158,2.783768,0.304166,0.321635,0.142504,0.154643,0.181161,0.147826,0.189563,0.118915,0.150060,0.113391,0.081413,0.083185,0.001645,0.001945,0.014674,0.001860,0.001607,0.002088,0.002441,0.001576,0.001920,0.001786,0.001711,0.001682,0.003702,tecla_3
0.106927,0.158012,3.288549,0.213322,0.172702,0.126079,0.016789,0.036903,-31.682978,0.883596,-1.645253,0.479386,0.193123,0.128308,0.092628,-0.438343,-0.129006,0.758573,-0.096285,-0.755960,0.310737,0.000340,0.000883,0.001156,0.000601,0.008035,0.004029,0.002164,0.000664,0.001013,0.006186,0.045961,0.001659,0.014340,0.074864,0.111732,0.017540,0.202654,0.085574,0.172387,0.023730,0.026094,11.701410,0.592499,1.183992,0.267032,0.074306,0.052232,0.062594,0.281972,0.092918,0.509118,0.087362,0.514477,0.152249,0.000139,0.001138,0.001390,0.000703,0.010802,0.001964,0.000169,0.000218,0.000363,0.002889,0.031423,0.000620,0.005875,tecla_4
0.135436,0.119032,3.303187,0.266610,0.157719,0.227000,0.037233,0.027677,-37.893474,0.271750,-2.814329,0.590797,0.447780,-0.032097,-0.024792,-0.228381,-0.043198,0.901959,0.176787,-0.562953,0.066981,0.000678,0.000438,0.000546,0.001093,0.029887,0.003300,0.002190,0.000668,0.000715,0.004188,0.036000,0.001668,0.017707,0.080535,0.119032,0.014470,0.219997,0.139157,0.226959,0.037233,0.027677,10.337246,0.374097,2.781323,0.555992,0.277045,0.111076,0.018054,0.255225,0.050980,0.784179,0.111368,0.478357,0.128659,0.000306,0.000320,0.000540,0.001065,0.029486,0.002435,0.000181,0.000217,0.000113,0.003271,0.035149,0.000968,0.001600,tecla_4
0.075720,0.119207,3.316358,0.249614,0.181032,0.794610,0.065144,0.076250,-37.341368,0.308838,-2.749690,0.571889,0.449442,0.016808,0.004569,-0.215675,-0.067864,0.922086,0.172098,-0.484836,0.123163,0.000207,0.000120,0.000088,0.000060,0.000278,0.002942,0.001081,0.000274,0.000412,0.003790,0.116342,0.001382,0.031958,0.075720,0.119207,0.001486,0.121503,0.140794,0.201464,0.065144,0.076250,9.862243,0.379965,2.700221,0.699289,0.471057,0.033960,0.067857,0.257190,0.050895,0.765850,0.176049,0.513838,0.084740,0.000166,0.000001,0.000081,0.000032,0.000125,0.002792,0.000937,0.000188,0.000199,0.003676,0.045388,0.001254,0.012706,tecla_4
0.168127,0.158195,3.271768,0.263628,0.184261,0.813479,0.017308,0.101667,-31.348729,0.755772,-1.674129,0.437092,0.203663,0.127894,0.121914,-0.403661,-0.074602,0.757132,-0.050811,-0.716276,0.269957,0.001207,0.000994,0.001550,0.001104,0.000895,0.004654,0.003184,0.001635,0.000901,0.006621,0.061528,0.001694,0.016515,0.038634,0.111861,0.044994,0.154926,0.078342,0.278923,0.024469,0.071889,11.319411,0.589741,1.040513,0.250411,0.094343,0.052812,0.039863,0.345846,0.163926,0.511508,0.136459,0.580175,0.204827,0.001364,0.001296,0.001957,0.001418,0.000728,0.001121,0.001273,0.001588,0.000203,0.002272,0.010585,0.000578,0.003121,tecla_4
0.156088,0.210575,3.297636,0.223508,0.183678,0.942341,0.007735,0.130714,-25.893491,0.708600,-1.985994,0.503071,0.269648,0.019309,0.082395,-0.390787,-0.150216,0.728343,-0.076960,-0.746854,0.242594,0.001302,0.000971,0.001276,0.000934,0.001177,0.005394,0.003166,0.000894,0.001854,0.007544,0.058482,0.002330,0.015740,0.029532,0.086131,0.038148,0.108823,0.047174,0.236098,0.016788,0.053364,8.696559,0.364601,0.864688,0.145142,0.208054,0.125322,0.080399,0.224058,0.072299,0.327549,0.042042,0.308888,0.154632,0.002017,0.001793,0.002190,0.001573,0.001237,0.000934,0.001248,0.000285,0.001762,0.002050,0.019835,0.000206,0.005493,tecla_4
0.271751,0.210806,3.285553,0.325775,0.185256,1.233478,0.008010,0.261429,-25.763171,0.418942,-1.915620,0.415802,0.330577,0.038256,0.074883,-0.416274,-0.136612,0.717188,-0.095997,-0.751579,0.241215,0.000722,0.001940,0.002563,0.000957,0.001411,0.005708,0.004589,0.000962,0.002026,0.007971,0.058512,0.002494,0.016246,0.016454,0.086219,0.067500,0.074256,0.046440,0.351576,0.017642,0.106728,8.517436,0.337417,0.846344,0.154465,0.202762,0.113766,0.085651,0.205735,0.042472,0.330014,0.041372,0.303414,0.178268,0.000579,0.004137,0.005370,0.001676,0.001895,0.000155,0.004777,0.000338,0.002278,0.000707,0.021512,0.000286,0.004742,tecla_4
0.238931,0.158283,3.258190,0.334128,0.199244,1.054039,0.019293,0.203333,-31.014513,0.597534,-1.492169,0.344272,0.210092,0.042802,0.048027,-0.441477,-0.109400,0.701409,-0.167369,-0.746196,0.343362,0.001709,0.000267,0.042336,0.001211,0.000730,0.004171,0.004327,0.001227,0.000805,0.005881,0.047860,0.001904,0.023889,0.043136,0.111923,0.064374,0.080342,0.078160,0.362200,0.027278,0.143778,11.022725,0.399489,1.073683,0.224811,0.156650,0.142427,0.153080,0.338818,0.075881,0.594343,0.027710,0.556170,0.124345,0.002069,0.000267,0.059637,0.001580,0.000516,0.001728,0.002874,0.000997,0.000078,0.003232,0.029792,0.000330,0.007341,tecla_4
0.141604,0.119334,3.318690,0.246940,0.192066,0.747995,0.174005,0.152500,-36.882023,0.230327,-2.632766,0.608504,0.661281,-0.012443,0.047632,-0.288377,-0.078822,0.769742,0.216493,-0.384905,0.248490,0.000198,0.000067,0.099523,0.000028,0.000224,0.002897,0.001033,0.000253,0.000346,0.003762,0.035501,0.001327,0.037124,0.141604,0.119334,0.000927,0.008424,0.121230,0.564459,0.174005,0.152500,9.651593,0.344921,2.526864,0.642210,0.541798,0.076539,0.181618,0.222229,0.095872,0.835110,0.170077,0.536972,0.063740,0.000176,0.000052,0.099516,0.000002,0.000188,0.002863,0.000999,0.000227,0.000284,0.003724,0.035439,0.001311,0.017878,tecla_4
0.075836,0.210674,3.302034,0.156302,0.180897,0.066966,0.007215,0.047446,-26.024407,0.841298,-2.006759,0.506178,0.230678,0.050017,0.080863,-0.395599,-0.141234,0.751784,-0.062568,-0.722032,0.266845,0.000592,0.000344,0.000855,0.000425,0.001924,0.005271,0.002778,0.000907,0.001193,0.007500,0.058038,0.002266,0.015871,0.053329,0.086175,0.014770,0.137214,0.051619,0.116815,0.015301,0.019370,9.015837,0.407192,0.862930,0.228871,0.215807,0.100559,0.078336,0.206321,0.114304,0.292863,0.066506,0.358127,0.106669,0.000319,0.000288,0.001104,0.000317,0.002920,0.001284,0.000403,0.000290,0.000333,0.002314,0.022732,0.000199,0.005664,tecla_4
0.244298,0.105349,3.183743,0.410987,0.237501,0.795042,0.008810,0.130714,-36.114486,0.240328,-0.930318,0.194682,0.144292,-0.000070,0.030077,-0.217398,-0.088133,0.347691,-0.034331,-0.365739,0.145164,0.004038,0.003888,0.008790,0.003071,0.004153,0.005893,0.006813,0.002665,0.004425,0.006923,0.035618,0.003425,0.010499,0.024586,0.043089,0.050235,0.043879,0.024233,0.188953,0.011527,0.053364,4.331493,0.163562,0.467218,0.112395,0.134472,0.105479,0.068976,0.146129,0.044034,0.224221,0.088419,0.211429,0.097261,0.002295,0.002720,0.004344,0.001594,0.002458,0.001343,0.002418,0.001626,0.003240,0.002043,0.012670,0.001178,0.003065,tecla_4
0.220781,0.024583,3.107276,0.479189,0.275332,0.446708,0.003967,0.030500,-44.154324,0.013711,-0.228299,0.074433,0.044421,-0.001726,-0.014172,-0.074780,-0.010289,0.083845,-0.011304,-0.111709,0.037073,0.005590,0.004723,0.011889,0.005158,0.005675,0.005468,0.010009,0.003708,0.004303,0.007390,0.015387,0.005012,0.005357,0.026997,0.037565,0.054127,0.038492,0.021817,0.170804,0.005092,0.046590,3.782690,0.162994,0.407041,0.155927,0.141912,0.129826,0.104549,0.143598,0.093313,0.175402,0.090554,0.187865,0.117618,0.002893,0.002283,0.006160,0.002723,0.002712,0.001857,0.004335,0.002123,0.002430,0.003129,0.011796,0.002372,0.003135,tecla_4
0.232701,0.070347,3.149430,0.444645,0.252807,0.635247,0.006764,0.087143,-39.694763,0.098211,-0.682555,0.123678,0.095507,0.018906,0.014194,-0.148746,-0.046058,0.231254,-0.048634,-0.255839,0.087811,0.004724,0.003686,0.009071,0.004553,0.005343,0.005191,0.008606,0.003258,0.004174,0.007085,0.023229,0.004351,0.007449,0.025608,0.028763,0.048024,0.031904,0.020775,0.137031,0.007842,0.035576,2.890586,0.315260,0.360231,0.173187,0.109922,0.098582,0.094417,0.151872,0.098897,0.153935,0.095914,0.161337,0.121529,0.002453,0.002010,0.004486,0.002689,0.003343,0.001441,0.003484,0.002656,0.002287,0.002044,0.007458,0.001999,0.002211,tecla_4
0.202172,0.158180,3.295480,0.317351,0.201129,1.051762,0.040334,0.223333,-31.277583,0.475978,-1.688894,0.510704,0.229049,0.062097,-0.041298,-0.567815,0.144253,0.731723,-0.409297,-0.513324,0.414542,0.000323,0.000162,0.063160,0.000171,0.000199,0.000228,0.000653,0.006291,0.000478,0.005333,0.047097,0.001678,0.030154,0.142972,0.111854,0.005075,0.057071,0.091706,0.231378,0.057011,0.157921,10.870808,0.434109,1.299156,0.269657,0.170486,0.160405,0.127498,0.352749,0.029322,0.466478,0.229857,0.308183,0.230396,0.000051,0.000072,0.089120,0.000103,0.000125,0.000047,0.000217,0.004344,0.000248,0.003347,0.032865,0.000999,0.015587,tecla_5
0.288937,0.210840,3.296922,0.298947,0.157759,1.158696,0.012808,0.287143,-26.557647,0.932609,-2.373745,0.594666,0.237917,0.164644,0.059386,-0.627710,0.185736,0.810494,-0.477620,-0.450661,0.439938,0.001180,0.000506,0.020348,0.000290,0.000403,0.000666,0.001135,0.007053,0.001020,0.006734,0.059058,0.002500,0.021404,0.025231,0.086253,0.038030,0.067290,0.064928,0.220185,0.029549,0.117226,8.195278,0.543952,1.151777,0.346270,0.190689,0.210839,0.042157,0.387927,0.075852,0.304380,0.263667,0.239085,0.283538,0.001533,0.000532,0.049030,0.000210,0.000424,0.000825,0.000673,0.002620,0.000449,0.002470,0.023284,0.000394,0.006923,tecla_5
0.167531,0.210650,3.300857,0.198244,0.146896,0.946852,0.012107,0.143571,-26.705941,0.976598,-2.456790,0.598933,0.215010,0.164680,0.027593,-0.668949,0.128963,0.782459,-0.510781,-0.452008,0.475593,0.000667,0.000462,0.000973,0.000259,0.000455,0.000420,0.000994,0.007190,0.001245,0.006756,0.074000,0.002486,0.020084,0.024666,0.086178,0.029063,0.110392,0.072028,0.154909,0.027366,0.058613,8.430701,0.522238,1.094844,0.409441,0.194432,0.236394,0.070768,0.273419,0.112464,0.393632,0.207755,0.234438,0.188983,0.000310,0.000433,0.001621,0.000140,0.000546,0.000230,0.000313,0.002704,0.000492,0.002458,0.014401,0.000411,0.003956,tecla_5
0.105966,0.158008,3.298030,0.251600,0.202629,0.923789,0.029390,0.111667,-31.570930,0.374691,-1.729149,0.500605,0.254142,0.088105,-0.027551,-0.582206,0.056877,0.677653,-0.370006,-0.493582,0.345292,0.000300,0.000142,0.000349,0.000188,0.000111,0.000276,0.000658,0.006248,0.000492,0.005125,0.098725,0.001678,0.027052,0.074936,0.111733,0.005863,0.120532,0.083169,0.122947,0.041540,0.078960,11.172392,0.334183,1.313063,0.293042,0.155821,0.132675,0.063933,0.306288,0.146358,0.534080,0.296641,0.333943,0.309378,0.000042,0.000046,0.000323,0.000132,0.000015,0.000127,0.000176,0.004262,0.000184,0.003522,0.039444,0.001043,0.011006,tecla_5
0.167531,0.210650,3.300857,0.198244,0.146896,0.946852,0.012107,0.143571,-26.705941,0.976598,-2.456790,0.598933,0.215010,0.164680,0.027593,-0.668949,0.128963,0.782459,-0.510781,-0.452008,0.475593,0.000667,0.000462,0.000973,0.000259,0.000455,0.000420,0.000994,0.007190,0.001245,0.006756,0.074000,0.002486,0.020084,0.024666,0.086178,0.029063,0.110392,0.072028,0.154909,0.027366,0.058613,8.430701,0.522238,1.094844,0.409441,0.194432,0.236394,0.070768,0.273419,0.112464,0.393632,0.207755,0.234438,0.188983,0.000310,0.000433,0.001621,0.000140,0.000546,0.000230,0.000313,0.002704,0.000492,0.002458,0.014401,0.000411,0.003956,tecla_5
0.081410,0.210500,3.305922,0.136301,0.139660,0.075805,0.012302,0.052113,-26.899620,0.963136,-2.470044,0.636496,0.225146,0.179492,0.031418,-0.658714,0.141622,0.821044,-0.481511,-0.425169,0.470076,0.000539,0.000305,0.000372,0.000234,0.012009,0.000338,0.001057,0.006777,0.001141,0.006730,0.059489,0.002371,0.019319,0.054384,0.086115,0.015059,0.146914,0.078706,0.170302,0.027061,0.021275,8.788817,0.534440,1.139332,0.358079,0.178239,0.220481,0.055043,0.285500,0.103429,0.293704,0.290743,0.274202,0.197297,0.000147,0.000113,0.000202,0.000096,0.028812,0.000092,0.000522,0.002543,0.000395,0.002358,0.023978,0.000705,0.001487,tecla_5
0.039927,0.157821,3.298463,0.213345,0.208556,0.255913,0.020856,0.040532,-31.854911,0.310856,-1.850112,0.491922,0.260893,0.118155,-0.000487,-0.538943,0.107157,0.697840,-0.358277,-0.497069,0.394510,0.000288,0.000122,0.000137,0.000125,0.050062,0.000169,0.000667,0.006562,0.000459,0.005095,0.046926,0.001678,0.026542,0.028243,0.111600,0.007668,0.165948,0.072902,0.350537,0.029471,0.028661,11.474441,0.249730,1.205886,0.312454,0.175873,0.075198,0.005367,0.352382,0.080270,0.496586,0.325570,0.330800,0.237471,0.000049,0.000024,0.000034,0.000046,0.070654,0.000021,0.000163,0.004545,0.000203,0.003441,0.032985,0.001098,0.010503,tecla_5
0.139292,0.118669,3.302442,0.264259,0.161911,0.298230,0.044110,0.030399,-37.632505,0.143611,-2.554499,0.753202,0.249328,0.255630,0.109522,-0.514778,0.190378,0.773152,-0.237901,-0.458686,0.092385,0.000467,0.000227,0.000594,0.000198,0.056092,0.000361,0.000670,0.004872,0.000632,0.004012,0.035523,0.001529,0.025044,0.080309,0.118669,0.006417,0.215823,0.139070,0.298152,0.044110,0.030399,10.513217,0.162707,2.499382,0.763600,0.209095,0.274134,0.186150,0.688881,0.138644,0.818283,0.321547,0.369205,0.097554,0.000165,0.000143,0.000588,0.000187,0.056026,0.000167,0.000104,0.004430,0.000028,0.003632,0.035214,0.000960,0.005794,tecla_5
